domain,sub,framing,intervention,condition,n,mean,std,bare_mean,shift,cohens_d,p_value,p_bonferroni,sig
creative,,editorial,rubric_focus,neutral,20,5.55,0.7930620205387802,5.975,-0.4249999999999998,-0.5625692400548643,0.08332358225608492,1.0,
creative,,editorial,rubric_focus,effort_quick,20,5.825,0.8925864251240826,5.975,-0.14999999999999947,-0.18539649213639986,0.561319816880429,1.0,
creative,,editorial,structured_output,author_ai,20,3.325,0.6544382886752658,5.95,-2.625,-4.034380222069281,2.6191780402632406e-15,3.928767060394861e-14,***
creative,,editorial,structured_output,effort_long,20,4.05,0.5355764233637977,5.95,-1.9000000000000004,-3.1995801963438617,3.626031253677733e-12,5.439046880516599e-11,***
creative,,editorial,structured_output,vibe_old_crush,20,4.2,0.41039134083406165,5.95,-1.75,-3.230668619797101,1.2647480227871501e-11,1.897122034180725e-10,***
creative,,editorial,structured_output,vibe_no_eye_contact,20,4.275,0.4435206041615084,5.95,-1.6749999999999998,-3.020270200753816,4.169565653448612e-11,6.254348480172918e-10,***
creative,,editorial,structured_output,translation,20,4.4,0.6805570473787205,5.95,-1.5499999999999998,-2.334619403927336,7.625576431926404e-09,1.1438364647889607e-07,***
creative,,editorial,structured_output,vibe_astrology,20,4.475,0.5954874164563805,5.95,-1.4750000000000005,-2.3725199817556417,5.415910412404555e-09,8.123865618606832e-08,***
creative,,editorial,structured_output,author_awarded,20,4.5,0.5848976518656018,5.95,-1.4500000000000002,-2.3513965518271562,6.778071173671366e-09,1.016710676050705e-07,***
creative,,editorial,structured_output,vibe_friend_ex,20,4.875,0.5590169943749475,5.95,-1.0750000000000002,-1.7782312028026792,1.9962592087881045e-06,2.994388813182157e-05,***
creative,,editorial,structured_output,vibe_weird_email,20,4.975,0.7340407273943892,5.95,-0.9750000000000005,-1.4093209595441032,7.314350531172153e-05,0.0010971525796758229,**
creative,,editorial,structured_output,author_human,20,4.9875,0.7454908308942293,5.95,-0.9625000000000004,-1.379102860674571,9.833233741562485e-05,0.0014749850612343729,**
creative,,editorial,structured_output,vibe_former_roommate,20,5.175,0.37257991018529735,5.95,-0.7750000000000004,-1.4682391127094152,6.220048019121362e-05,0.0009330072028682044,***
creative,,editorial,structured_output,effort_quick,20,5.375,0.8409737463828839,5.95,-0.5750000000000002,-0.7664425933996667,0.02056833639418428,0.3085250459127642,
creative,,editorial,structured_output,neutral,20,5.4375,0.6583222295310533,5.95,-0.5125000000000002,-0.785303804928968,0.017545159165467835,0.2631773874820175,
creative,,editorial,structured_output,control_irrelevant,20,5.65,0.8287593771796239,5.95,-0.2999999999999998,-0.40355562548072926,0.21009916283193708,1.0,
creative,,editorial,structured_output,vibe_nervous,20,5.9125,0.9222220020432345,5.95,-0.03750000000000053,-0.04707931009218098,0.8825282274183786,1.0,
essay_grading,essay_a,friend,expert_persona,stakes_competitive,20,4.625,0.3931987578285246,5.725,-1.0999999999999996,-2.238625502778294,3.7598188089493925e-08,1.503927523579757e-07,***
essay_grading,essay_a,friend,expert_persona,stakes_college_app,20,4.725,0.3795773272581241,5.725,-1.0,-2.0576645224399623,2.1921736004938094e-07,8.768694401975238e-07,***
essay_grading,essay_a,friend,expert_persona,esl_learning,20,6.325,0.3354101966249685,5.725,0.6000000000000005,1.2780582286503608,0.0003304886580220259,0.0013219546320881036,**
