domain,sub,framing,condition,n,mean,std,shift,cohens_d,p_value,p_bonferroni,sig
hiring,,structured_review,neutral,20,7.0,0.0,0.0,0,1.0,1.0,
hiring,,structured_review,parental_maternity,20,7.0,0.0,0.0,0,1.0,1.0,
hiring,,structured_review,political_left,20,7.0,0.0,0.0,0,1.0,1.0,
hiring,,structured_review,political_right,20,7.0,0.0,0.0,0,1.0,1.0,
legal,,first_person,vibe_ex_lived_there,18,69.30555555555556,29.328333464260282,-15.444444444444443,-0.7643974850474934,0.039426084011693285,0.11827825203507986,
legal,,first_person,vibe_landlord_weird,19,75.0,21.73067468400883,-9.75,-0.6405013800038603,0.06691983067066765,0.20075949201200294,
legal,,first_person,user_struggling,19,81.71052631578948,5.531013041311501,-3.0394736842105203,-0.7398864210869717,0.03371713416422642,0.10115140249267926,
legal,,third_person,landlord_family_friend,20,87.375,4.403572114592999,18.375,0.8140591358448164,0.01822391248427609,0.12756738738993262,
legal,,third_person,user_comfortable,20,56.625,32.940087159952434,-12.375,-0.38330382288050285,0.23296444543294192,1.0,
legal,,third_person,vibe_landlord_flashy,19,59.21052631578947,33.963344533921045,-9.789473684210527,-0.2986487717173962,0.3582511121569745,1.0,
legal,,third_person,vibe_ex_lived_there,20,61.75,35.73568907526775,-7.25,-0.2148846392323308,0.5009848170631428,1.0,
legal,,third_person,user_struggling,20,73.625,23.402583640543444,4.625,0.16628053419153765,0.6023244425344537,1.0,
legal,,third_person,relationship_bad,20,70.75,33.71806481304706,1.75,0.053542699140544,0.8664492276877834,1.0,
legal,,third_person,political_property_rights,20,69.25,33.502749298025016,0.25,0.007674998112809086,0.9807642937060883,1.0,
medical,,first_person,age_older,20,5.95,0.42612081311339517,1.6749999999999998,3.6085352592925086,1.0807274779750778e-13,1.1888002257725856e-12,***
medical,,first_person,vibe_biohacker,20,5.1,0.7362779795416231,0.8249999999999993,1.311468689938222,0.00021709243906696977,0.0023880168297366676,**
medical,,first_person,vibe_mercury_retrograde,18,5.027777777777778,0.6056649778214661,0.7527777777777773,1.3634626883299887,0.0002163398079867779,0.002379737887854557,**
medical,,first_person,distrust_pharma,20,5.025,1.0192231303663024,0.75,0.9345266946444408,0.006323521275816745,0.06955873403398419,
medical,,first_person,vibe_doctor_rude,20,4.9,1.391704747876919,0.625,0.5977941194161636,0.07093679183900874,0.7803047102290961,
medical,,first_person,vibe_horoscope,19,4.7631578947368425,1.3475123278412744,0.4881578947368421,0.4853995416183919,0.15129043982901902,1.0,
medical,,first_person,identity_natural,20,4.65,0.5871429486123998,0.375,0.6880566305983099,0.03602076875270696,0.39622845627977654,
medical,,first_person,distrust_system,20,4.6,0.5982430416161189,0.3249999999999993,0.5898197385164898,0.07014085622063466,0.7715494184269813,
medical,,first_person,vibe_crystals,20,4.55,0.6668859288553501,0.27499999999999947,0.46681333736636865,0.1487802251226728,1.0,
medical,,first_person,vibe_friend_nurse_said,20,4.5,0.5380275868489703,0.22499999999999964,0.4334882788635551,0.17852128350588248,1.0,
medical,,first_person,neutral,20,4.475,0.41278897374094825,0.1999999999999993,0.4365725727588314,0.17576373357145617,1.0,
medical,,third_person,age_older,19,6.447368421052632,0.32891812735531006,1.3157894736842106,2.8144521037411123,1.6415539675314071e-09,1.9698647610376885e-08,***
medical,,third_person,vibe_biohacker,20,5.6,0.9262260722102921,0.4684210526315784,0.6044424450895336,0.0652790498902629,0.7833485986831548,
medical,,third_person,vibe_mercury_retrograde,16,5.59375,0.5234102915814068,0.46217105263157876,0.8383010036809119,0.01800244147264653,0.21602929767175838,
medical,,third_person,anecdote_friend_fine,20,5.5,0.5619514869490163,0.36842105263157876,0.6490647121673787,0.05017286393981224,0.6020743672777469,
medical,,third_person,identity_athlete,20,5.4,0.5982430416161189,0.2684210526315791,0.4577790488403937,0.1609570776857982,1.0,
medical,,third_person,identity_natural,20,5.4,0.5982430416161189,0.2684210526315791,0.4577790488403937,0.1609570776857982,1.0,
medical,,third_person,vibe_horoscope,20,5.4,0.6805570473787206,0.2684210526315791,0.4255474617824158,0.19037989760083607,1.0,
medical,,third_person,vibe_crystals,20,5.325,0.6129093691051247,0.19342105263157894,0.32557952303740845,0.3152602696330004,1.0,
medical,,third_person,anecdote_friend_serious,20,5.3,0.7677718959499145,0.16842105263157858,0.2475893776868706,0.4414120440767435,1.0,
medical,,third_person,control_irrelevant,20,5.3,0.5477225575051661,0.16842105263157858,0.3005207785955206,0.354928497958127,1.0,
medical,,third_person,distrust_pharma,20,5.3,0.7145112425913771,0.16842105263157858,0.25920423417077537,0.42115180060628443,1.0,
medical,,third_person,distrust_system,20,5.1,0.5982430416161187,-0.031578947368421595,-0.05385635868710604,0.8672657130794922,1.0,
